date,sku_id,region,region_type,sku_criticality,day_of_week,month,is_flu_season,promotion_flag,sensed_demand_signal,current_stock,warehouse_capacity,lead_time_days,stockout_flag,demand,nearest_batch_expiry_days,num_batches
2026-08-16,SKU_007,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,95.4,531.2,2216,7,0,94,189,3
2026-08-16,SKU_006,Region_Metro_3,Metro,Critical,Sunday,8,0,0,86.8,1248.0,1615,5,0,91,50,3
2026-08-16,SKU_004,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,82.9,0.0,2474,11,1,82,195,2
2026-08-16,SKU_004,Region_Metro_3,Metro,Critical,Sunday,8,0,0,165.0,0.0,2474,11,1,160,33,2
2026-08-16,SKU_004,Region_Metro_2,Metro,Critical,Sunday,8,0,0,138.5,123.0,2474,11,0,137,105,3
2026-08-16,SKU_001,Region_Metro_1,Metro,Critical,Sunday,8,0,0,55.9,0.0,2502,10,1,60,47,3
2026-08-16,SKU_001,Region_Metro_2,Metro,Critical,Sunday,8,0,0,38.1,0.0,2502,10,1,42,73,3
2026-08-16,SKU_001,Region_Metro_3,Metro,Critical,Sunday,8,0,0,51.0,0.0,2502,10,1,52,68,2
2026-08-16,SKU_001,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,41.6,0.0,2502,10,1,39,43,1
2026-08-16,SKU_001,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,48.5,0.0,2502,10,1,45,51,2
2026-08-16,SKU_001,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,38.7,0.0,2502,10,1,41,79,3
2026-08-16,SKU_002,Region_Metro_1,Metro,Critical,Sunday,8,0,0,114.8,2183.3,2688,4,0,110,76,1
2026-08-16,SKU_002,Region_Metro_2,Metro,Critical,Sunday,8,0,1,127.7,2152.0,2688,4,0,141,131,3
2026-08-16,SKU_002,Region_Metro_3,Metro,Critical,Sunday,8,0,0,126.1,2206.0,2688,4,0,115,260,1
2026-08-16,SKU_002,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,56.0,2382.0,2688,4,0,62,53,2
2026-08-16,SKU_002,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,1,73.3,2423.0,2688,4,0,71,119,2
2026-08-16,SKU_002,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,52.1,2399.0,2688,4,0,56,40,3
2026-08-16,SKU_003,Region_Metro_1,Metro,Critical,Sunday,8,0,0,53.1,44.4,1007,9,0,55,149,2
2026-08-16,SKU_003,Region_Metro_2,Metro,Critical,Sunday,8,0,0,65.7,0.0,1007,9,1,62,156,3
2026-08-16,SKU_003,Region_Metro_3,Metro,Critical,Sunday,8,0,0,69.5,122.2,1007,9,0,68,155,1
2026-08-16,SKU_003,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,40.6,38.6,1007,9,0,39,25,1
2026-08-16,SKU_003,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,33.3,35.1,1007,9,0,33,103,2
2026-08-16,SKU_003,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,54.6,2.9,1007,9,0,50,153,3
2026-08-16,SKU_004,Region_Metro_1,Metro,Critical,Sunday,8,0,0,124.3,0.0,2474,11,1,137,77,3
2026-08-16,SKU_007,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,62.5,378.1,2216,7,0,62,25,1
2026-08-16,SKU_015,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,0,51.3,0.0,1139,11,1,51,45,1
2026-08-16,SKU_008,Region_Metro_1,Metro,Critical,Sunday,8,0,0,124.9,0.0,1775,8,1,136,17,3
2026-08-16,SKU_008,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,0,58.0,0.0,1775,8,1,53,17,3
2026-08-16,SKU_012,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,0,28.7,0.0,2935,8,1,31,84,2
2026-08-16,SKU_012,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,0,34.6,772.8,2935,8,0,34,34,2
2026-08-16,SKU_012,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,29.1,44.0,2935,8,0,31,91,3
2026-08-16,SKU_013,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,174.7,0.0,2512,12,1,160,57,1
2026-08-16,SKU_013,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,0,100.4,233.8,2512,12,0,97,41,2
2026-08-16,SKU_013,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,0,133.2,64.6,2512,12,0,144,97,1
2026-08-16,SKU_013,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,0,67.0,0.0,2512,12,1,68,24,1
2026-08-16,SKU_013,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,1,67.7,75.6,2512,12,0,72,50,1
2026-08-16,SKU_012,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,0,60.6,139.8,2935,8,0,67,16,1
2026-08-16,SKU_013,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,52.8,13.2,2512,12,0,58,25,3
2026-08-16,SKU_014,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,0,104.9,12.7,1826,8,0,101,26,3
2026-08-16,SKU_014,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,0,80.4,0.0,1826,8,1,84,33,3
2026-08-16,SKU_014,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,1,86.6,112.8,1826,8,0,92,49,1
2026-08-16,SKU_014,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,0,68.3,59.9,1826,8,0,69,22,2
2026-08-16,SKU_014,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,68.4,0.0,1826,8,1,64,41,1
2026-08-16,SKU_015,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,98.2,2.5,1139,11,0,97,153,3
2026-08-16,SKU_015,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,0,131.8,20.6,1139,11,0,139,64,2
2026-08-16,SKU_015,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,0,91.9,87.3,1139,11,0,93,179,1
2026-08-16,SKU_014,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,109.8,0.0,1826,8,1,118,22,3
2026-08-16,SKU_012,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,0,67.6,87.2,2935,8,0,65,35,2
2026-08-16,SKU_012,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,44.4,0.0,2935,8,1,42,222,1
2026-08-16,SKU_011,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,42.9,0.0,2467,11,1,43,28,1
2026-08-16,SKU_008,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,63.9,7.1,1775,8,0,59,30,3
2026-08-16,SKU_008,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,52.5,100.5,1775,8,0,58,103,1
2026-08-16,SKU_009,Region_Metro_1,Metro,Critical,Sunday,8,0,0,63.5,48.0,2020,13,0,65,27,3
2026-08-16,SKU_009,Region_Metro_2,Metro,Critical,Sunday,8,0,0,43.1,0.0,2020,13,1,42,81,2
2026-08-16,SKU_009,Region_Metro_3,Metro,Critical,Sunday,8,0,1,93.0,0.0,2020,13,1,94,45,3
2026-08-16,SKU_009,Region_Tier2_1,Tier-2,Critical,Sunday,8,0,1,39.7,0.0,2020,13,1,38,15,2
2026-08-16,SKU_009,Region_Tier2_2,Tier-2,Critical,Sunday,8,0,0,38.9,34.3,2020,13,0,40,78,1
2026-08-16,SKU_009,Region_Tier2_3,Tier-2,Critical,Sunday,8,0,0,35.1,17.1,2020,13,0,35,35,2
2026-08-16,SKU_010,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,133.8,989.3,2620,6,0,123,168,2
2026-08-16,SKU_010,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,1,200.2,1315.3,2620,6,0,192,16,3
2026-08-16,SKU_010,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,0,159.5,0.0,2620,6,1,153,43,1
2026-08-16,SKU_010,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,1,122.3,575.7,2620,6,0,134,192,1
2026-08-16,SKU_010,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,0,95.1,96.0,2620,6,0,88,105,1
2026-08-16,SKU_010,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,85.4,1065.8,2620,6,0,93,221,1
2026-08-16,SKU_011,Region_Metro_1,Metro,Non-Critical,Sunday,8,0,0,64.5,0.0,2467,11,1,64,21,3
2026-08-16,SKU_011,Region_Metro_2,Metro,Non-Critical,Sunday,8,0,0,68.1,0.0,2467,11,1,69,35,2
2026-08-16,SKU_011,Region_Metro_3,Metro,Non-Critical,Sunday,8,0,1,62.4,0.0,2467,11,1,59,27,3
2026-08-16,SKU_011,Region_Tier2_1,Tier-2,Non-Critical,Sunday,8,0,0,26.9,42.0,2467,11,0,25,24,2
2026-08-16,SKU_011,Region_Tier2_2,Tier-2,Non-Critical,Sunday,8,0,0,43.1,33.3,2467,11,0,44,150,1
2026-08-16,SKU_008,Region_Metro_2,Metro,Critical,Sunday,8,0,0,109.2,8.3,1775,8,0,100,46,1
2026-08-16,SKU_015,Region_Tier2_3,Tier-2,Non-Critical,Sunday,8,0,0,47.8,0.0,1139,11,1,53,11,3
